features,score
1931,62.8488996206437
106,57.5202380668339
741,52.8248804381274
936,48.7102216224187
1388,46.1987753241999
1729,34.9122074417478
1893,31.0276585254496
911,30.2575353112884
718,26.0641632394058
975,26.04892469485
605,24.731580374124
544,24.3161056207857
841,23.8335069846865
2161,23.2281378702287
334,22.9162450752837
245,22.8673684257403
399,22.2907689446651
921,22.0931354653869
1794,20.4109493824781
646,19.9539442186264
285,19.9231416299248
1771,19.5169145396212
206,19.4611173454396
508,19.4301953266378
1620,19.002472197648
73,18.8682206955629
830,18.6919853846823
3,18.4214633813848
57,18.2968351446077
531,18.2048100457526
1352,18.1564173603153
1600,18.0797620489449
2045,18.0152669504633
1262,17.9110350717529
1073,17.7652109462313
757,17.4569954272927
1385,17.192562699838
1699,17.152010358466
1270,16.670897211821
596,16.5285803732549
885,16.3921299018671
275,16.2484997212208
84,16.0630711155166
799,15.9734190015665
509,15.8885371142671
551,15.7861324305144
186,15.6206119825383
606,15.5347676373916
1652,15.1417688411082
293,15.0687625980908
1417,15.0141326687627
1081,14.9369381948258
874,14.8279555145784
1813,14.7978508209636
1534,14.7742059642862
545,14.7715509014362
837,14.7316152024242
543,14.6364642194632
1953,14.5892663566094
1416,14.5050356262038
1601,14.3216331163716
1024,13.9899822745838
363,13.943534434836
1259,13.9342239818739
688,13.8932914537804
1174,13.8278825362177
254,13.3680001177542
165,13.3038097291488
163,13.0497151808477
307,12.9842027294739
787,12.944632561275
900,12.7192128696328
1317,12.6435199721091
1078,12.5931482658309
706,12.5776772502702
997,12.5700002489199
93,12.450002327909
421,12.4326289451179
325,12.2560336702612
1764,12.1513181416303
934,12.14532176707
294,12.0999242129352
1411,12.0336455875117
150,12.0281285522911
571,11.7173552726961
970,11.6960983824722
450,11.6960491723541
54,11.6707254138612
143,11.6551397176696
1338,11.6414131644848
129,11.6340699905093
720,11.6006581836291
26,11.5981767228589
909,11.5656332388543
1308,11.5402888729889
328,11.5176060086338
1964,11.4284626000328
1371,11.3723771803423
454,11.3585267677582
708,11.3239205702074
2252,11.3043754515027
364,11.2375865997997
1396,11.1292930537568
1267,10.9463396366978
1071,10.94440633578
1979,10.9302474093737
361,10.9282400902047
1613,10.9015089064706
405,10.8908791959621
819,10.8735970783596
1581,10.8661788974477
100,10.8398881526288
47,10.8005796673165
2,10.7997112120844
1950,10.7324211626626
1622,10.7284862840665
24,10.671752337452
1703,10.6635194825825
871,10.6457540872601
568,10.5990819720472
703,10.5952758968268
1141,10.5470190611109
42,10.4527180717485
458,10.4416754594744
1323,10.407942037998
554,10.4060752364772
1976,10.3722758030353
738,10.3469473542772
905,10.3395378756665
2239,10.3391933005745
1398,10.3223711491176
1402,10.3138423398131
1836,10.3069211012797
472,10.2851525991556
1097,10.2657873985926
1166,10.1893165217408
780,10.1746427247661
825,10.17155537077
1991,10.1430569296771
782,10.0395058062795
229,10.0226101650654
1595,9.9806749194212
136,9.9217898322179
1653,9.8849144874757
32,9.85122305720235
164,9.81182526911155
122,9.7860391595107
158,9.764271144131
265,9.76408392598665
1884,9.74376831421895
1401,9.7412529052301
373,9.72674749380785
1527,9.71671013312035
429,9.70002139067345
1593,9.66021096739045
2134,9.63285443912605
1157,9.6172810324038
1842,9.5789585223608
204,9.57427931857225
1400,9.495461073408
1278,9.42003902927995
289,9.14296087485735
1959,9.1345299442117
956,9.09632391717145
52,9.07094682963235
1769,8.86413158254205
1819,8.8332181858344
1686,8.790422396408
1253,8.7001276680972
1006,8.61681872129495
843,8.61434840104565
601,8.5995840718599
1858,8.50614449478705
1052,8.4019600368792
1041,8.39416456695315
1710,8.2481474579596
369,8.0936310391903
845,8.07642791826455
75,8.0653794995943
